event_id,event_name,date,characters,character_description
38,"Попытка побега Наташи с Анатолем","01-06-1811","Наташа Ростова; Анатоль Курагин; Соня; Марья Дмитриевна Ахросимова","Наташа: поддаётся увлечению; Соня: разоблачает; Марья Дмитриевна: предотвращает побег"
39,"Болезнь Наташи и её духовное перерождение","01-07-1812","Наташа Ростова; Соня; Марья Дмитриевна Ахросимова","Наташа: тяжёлое раскаяние; Соня: поддержка; Марья Дмитриевна: опека"
40,"Смерть князя Николая Болконского","01-08-1812","Марья Болконская; князь Николай Болконский; домочадцы","Марья: прощание с отцом; князь: тяжелая смерть, смятение слуг"
41,"Бегство Болконских из Лысых Гор","02-09-1812","Марья Болконская; Анисья Фёдоровна; мятежные крестьяне","Марья: сталкивается с народным гневом; Анисья: поддержка"
42,"Встреча Пьера и Наташи после войны","01-01-1813","Пьер Безухов; Наташа Ростова; Марья Болконская","Пьер: ищет смысл; Наташа: поддержка и сострадание"
43,"Свадьба Николая Ростова и Марьи Болконской","01-06-1814","Николай Ростов; Марья Болконская; Наташа Ростова; семья Ростовых","Николай: осознанный выбор; Марья: счастье; Наташа: радость за брата"
44,"Свадьба Пьера Безухова и Наташи Ростовой","01-06-1814","Пьер Безухов; Наташа Ростова; Марья Болконская","Пьер: наконец находит любовь; Наташа: счастлива"
45,"Николай становится владельцем имения","01-01-1815","Николай Ростов; Марья Болконская; семья Ростовых","Николай: берёт на себя долг; Марья: поддержка"
46,"Последний разговор Пьера и Николая","01-01-1820","Пьер Безухов; Николай Ростов","Пьер: политические патриотические идеи; Николай: забота о семье"
47,"Соня уезжает с графиней Марьей","01-01-1815","Соня; Марья Болконская; графиня Ростова","Соня: жертва ради семьи; Марья: забота; графиня: благодарность"
